kannada,english,category,kanglish,icon,waudio,,,,,,
ಮೊಟ್ಟೆ,egg,Food,motte,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/egg.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/egg.wav,,,,,,
ಬದನೇಕಾಯಿ,eggplant,Food,badanekayi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/eggplant.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/eggplant.wav,,,,,,
ದ್ರಾಕ್ಷಿ,grapes,Food,draakshi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/grapes.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/grapes.wav,,,,,,
ಹಾಲು,milk,Food,haalu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/milk.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/milk.wav,,,,,,
ಮೊಸರು,yogurt,Food,mosaru,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/yogurt.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/yogurt.wav,,,,,,
ಬೆಣ್ಣೆ,butter,Food,benne,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/butter.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/butter.wav,,,,,,
ಅಣಬೆ,mushroom,Food,anabe,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/mushroom.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/mushroom.wav,,,,,,
ಅನ್ನ,rice,Food,anna,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/rice.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/rice.wav,,,,,,
ಸಪೋಟ,chickoo,Food,sapota,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/chickoo.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/chickoo.wav,,,,,,
ಸೀಬೆಹಣ್ಣು,guava,Food,seebehannu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/guava.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/guava.wav,,,,,,
ಕಲ್ಲಂಗಡಿ,watermelon,Food,kallangadi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/watermelon.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/watermelon.wav,,,,,,
ಅನಾನಸ್,pinapple,Food,anannas,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/pinapple.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/pinapple.wav,,,,,,
ಗೋಡಂಬಿ,cashew,Food,godambi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/cashew.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/cashew.wav,,,,,,
ಬಾದಾಮಿ,almond,Food,baadami,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/almond.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/almond.wav,,,,,,
ಹಿಟ್ಟು,flour,Food,hittu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/flour.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/flour.wav,,,,,,
ಪಾಲಕ್,spinach,Food,paalak,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/spinach.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/spinach.wav,,,,,,
ಸೌತೆಕಾಯಿ,cucumber,Food,sauthekaayi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/cucumber.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/cucumber.wav,,,,,,
ಗಜ್ಜರಿ,carrot,Food,gajjari,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/carrot.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/carrot.wav,,,,,,
ಮಾವಿನ ಹಣ್ಣು,mango,Food,maavina hannu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/mango.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/mango.wav,,,,,,
ತೆಂಗಿನಕಾಯಿ,coconut,Food,tenginakaayi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/coconut.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/coconut.wav,,,,,,
ಎಣ್ಣೆ,oil,Food,enne,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/oil.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/oil.wav,,,,,,
ಕಡ್ಲೆಕಾಯಿ,groundnut,Food,kadlekai,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/groundnut.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/groundnut.wav,,,,,,
ನೀರು,water,Food,neeru,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/water.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/water.wav,,,,,,
ಸಿಹಿ,sweet,Food,sihi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/sweet.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/sweet.wav,,,,,,
ಖಾರ,spicy,Food,khaara,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/spicy.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/spicy.wav,,,,,,
ಹುಳಿ,sour,Food,huli,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/sour.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/sour.wav,,,,,,
ವೃತ್ತ,circle,Shapes,vrutta,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/circle.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/circle.wav,,,,,,
ಚೌಕ,square,Shapes,chowka,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/square.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/square.wav,,,,,,
ನಕ್ಷತ್ರ,star,Shapes,nakshatra,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/star.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/star.wav,,,,,,
ಚಂದ್ರಾಕಾರ,moon,Shapes,chandraakara,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/moon.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/moon.wav,,,,,,
ತ್ರಿಭುಜ,triangle,Shapes,tribhuja,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/triangle.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/triangle.wav,,,,,,
ಸೋಮವಾರ,monday,Days,somavara,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/monday.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/monday.wav,,,,,,
ಮಂಗಳವಾರ,tuesday,Days,mangalavara,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/tuesday.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/tuesday.wav,,,,,,
